PROJECT,SURFACE_PAD,PATTERN,WELL_PAIR,MAPPED_COMMON_WELLNAME,OBS_IHS_WELLNAME,OBS_BOT_TVDSS,OBS_SURFACE_X,OBS_SURFACE_Y,OBS_SUNCOR_WELLBORE_ID,OBS_TOP_DIST,OBS_BOT_DIST,OBS_TOP_MD,OBS_BOT_MD,OBS_TOP_TVDSS
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUNCOR DA6-1 DOVER 7-7-93-12,257.3999939,444149.9688,6323380,SUN-AB0427006-093-12-W4-00,7.846426336,7.846426336,631.1199951,631.1199951,433.3999939
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,PC WDW 21 DOVER 10-7-93-12,261.3999939,444235.1875,6324055,SUN-AB0270295-093-12-W4-00,81.68654361,81.68654361,1304.219971,1304.219971,435.3999939
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,PC UTF PA10 DOVER 10-7-93-12,271.1000061,444166.9375,6324000,SUN-AB0184088-093-12-W4-00,13.99330197,13.99330197,1257.859985,1257.859985,435.8999939
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,PC WD 13 DOVER 10-7-93-12,267.7000122,444188.8125,6324010.5,SUN-AB0219788-093-12-W4-00,35.22174455,35.22174455,1267,1267,436.7000122
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUNCOR DA11-1 DOVER 7-7-93-12,258.3999939,444174,6323622,SUN-AB0426902-093-12-W4-00,17.05059108,17.05059108,879.1699829,879.1699829,432.8999939
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUNCOR WBC57 DOVER 7-7-93-12,304.5,444130,6323380,SUN-AB0486902-093-12-W4-00,27.52003886,27.52003886,631.1199951,631.1199951,435.5
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUNCOR OB18 DOVER 10-7-93-12,257.1000061,444173.0938,6324086.5,SUN-AB0471658-093-12-W4-00,20.27431507,20.27431507,1341.75,1341.75,435.1000061
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,PC UTF WDW10 DOVER 10-7-93-12,270.1000061,444200.8125,6324022,SUN-AB0191464-093-12-W4-00,47.06515597,47.06515597,1276.060059,1276.060059,435.1000061
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,PC WDW 20 DOVER 10-7-93-12,262.3999939,444181.4063,6323952.5,SUN-AB0270296-093-12-W4-00,27.23286445,27.23286445,1202.23999,1202.23999,435.3999939
MacKay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUNCOR OB29 DOVER 15-7-93-12,257.5054321,444081.5,6324178.5,SUN-AB0486904-093-12-W4-00,77.55850236,77.62178561,1401,1401,438
MacKay River,Pad 750,Pad 750 South,750-WP12,750-P12,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-02,56.60258421,56.60258421,810.460022,810.460022,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP12,750-P12,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-04,56.60258421,56.60258421,810.460022,810.460022,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP12,750-P12,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-00,56.60258421,56.60258421,810.460022,810.460022,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP12,750-P12,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-03,56.60258421,56.60258421,810.460022,810.460022,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP12,750-P12,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-05,56.60258421,56.60258421,810.460022,810.460022,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP17,750-P17,SUNCOR SD6 DOVER 10-6-93-12,257.2000122,444101.8125,6322333.5,SUN-AB0427837-093-12-W4-00,55.19249871,55.19249871,646.0900269,646.0900269,433.7000122
MacKay River,Pad 750,Pad 750 South,750-WP17,750-P17,SUNCOR SD8 DOVER 10-6-93-12,257.1000061,444155.2813,6322186.5,SUN-AB0427839-093-12-W4-00,8.830046804,8.830046804,797.8599854,797.8599854,433.3999939
MacKay River,Pad 751,Pad 751 South,751-WP07,751-P07,SUNCOR SD6 DOVER 10-6-93-12,257.2000122,444101.8125,6322333.5,SUN-AB0427837-093-12-W4-00,27.67432319,27.67432319,668.1500244,668.1500244,433.7000122
MacKay River,Pad 751,Pad 751 South,751-WP07,751-P07,SUNCOR SD8 DOVER 10-6-93-12,257.1000061,444155.2813,6322186.5,SUN-AB0427839-093-12-W4-00,83.5733211,83.5733211,812.9500122,812.9500122,433.3999939
MacKay River,Pad 750,Pad 750 North,750-WP03,750-P03,SUNCOR DA7-1 DOVER 9-7-93-12,255.6999969,444385.5313,6323905,SUN-AB0426901-093-12-W4-00,62.9068011,62.9068011,1135.75,1135.75,429.2000122
MacKay River,Pad 750,Pad 750 North,750-WP03,750-P03,PC WDW 21 DOVER 10-7-93-12,261.3999939,444235.1875,6324055,SUN-AB0270295-093-12-W4-00,88.34787862,88.34787862,1286.290039,1286.290039,435.3999939
MacKay River,Pad 750,Pad 750 North,750-WP09,750-P09,SUNCOR OB19 DOVER 13-8-93-12,260.8390808,444850.125,6324149.5,SUN-AB0471742-093-12-W4-02,17.5855054,7.456187133,1422,1422,433.5
MacKay River,Pad 750,Pad 750 North,750-WP09,750-P09,SUNCOR OB19 DOVER 13-8-93-12,271.7000122,444845.0938,6324149.5,SUN-AB0471742-093-12-W4-00,12.78675004,12.78675004,1422,1422,433.5
MacKay River,Pad 750,Pad 750 North,750-WP09,750-P09,SUNCOR DA13-1 DOVER 5-8-93-12,258,444856.9375,6323448.5,SUN-AB0427160-093-12-W4-00,23.29081179,23.29081179,714.1599731,714.1599731,429.7999878
MacKay River,Pad 751,Pad 751 East,751-WP16,751-P16,SUNCOR SD1 DOVER 14-6-93-12,257.2999878,443791,6322880,SUN-AB0431307-093-12-W4-00,62.56609006,62.56609006,571.875,571.875,436.7999878
MacKay River,Pad 750,Pad 750 South,750-WP16,750-P16,SUNCOR SD8 DOVER 10-6-93-12,257.1000061,444155.2813,6322186.5,SUN-AB0427839-093-12-W4-00,84.4697616,84.4697616,773.3200073,773.3200073,433.3999939
MacKay River,Pad 751,Pad 751 North,751-WP06,751-P06,PC UTF PA10 DOVER 10-7-93-12,271.1000061,444166.9375,6324000,SUN-AB0184088-093-12-W4-00,96.06380123,96.06380123,1286.180054,1286.180054,435.8999939
MacKay River,Pad 751,Pad 751 North,751-WP06,751-P06,SUNCOR WBC57 DOVER 7-7-93-12,304.5,444130,6323380,SUN-AB0486902-093-12-W4-00,60.11246783,60.11246783,667.3800049,667.3800049,435.5
MacKay River,Pad 751,Pad 751 North,751-WP06,751-P06,SUNCOR DA6-1 DOVER 7-7-93-12,257.3999939,444149.9688,6323380,SUN-AB0427006-093-12-W4-00,80.07655029,80.07655029,667.3800049,667.3800049,433.3999939
MacKay River,Pad 751,Pad 751 North,751-WP06,751-P06,SUNCOR OB29 DOVER 15-7-93-12,257.5054321,444081.5,6324178.5,SUN-AB0486904-093-12-W4-00,50.62746908,51.68413683,1415,1415,438
MacKay River,Pad 751,Pad 751 East,751-WP13,751-P13,SUNCOR SD5 DOVER 14-6-93-12,255.6999969,443616.25,6322576,SUN-AB0430458-093-12-W4-00,30.5,30.5,433.6700134,433.6700134,438.7000122
MacKay River,Pad 23,Pad F,F-WP06,F-P06,PC WB-C1 DOVER 5-9-93-12,310.2000122,446676.0938,6323376,SUN-AB0391490-093-12-W4-00,23.64270583,23.64270583,627.6799927,627.6799927,402.2000122
MacKay River,Pad 23,Pad F,F-WP06,F-P06,PC WB-C3 DOVER 6-9-93-12,309.8999939,446926.4688,6323597,SUN-AB0391489-093-12-W4-00,57.00342643,57.00342643,957.2800293,957.2800293,397.2000122
MacKay River,Pad 750,Pad 750 North,750-WP05,750-P05,PC 19 DOVER 1-7-93-12,255.3999939,444429.0938,6323214.5,SUN-AB0100306B-093-12-W4-00,64.0019531,64.0019531,438,438,430.1000061
MacKay River,Pad 750,Pad 750 North,750-WP05,750-P05,PC  9DOVER 9-7-93-12,255.6999969,444453.9688,6323993,SUN-AB0100306C-093-12-W4-00,39.4139812,39.4139812,1220.790039,1220.790039,428.7999878
MacKay River,Pad 750,Pad 750 North,750-WP08,750-P08,SUNCOR OB19 DOVER 13-8-93-12,271.7000122,444845.0938,6324149.5,SUN-AB0471742-093-12-W4-00,97.55079306,97.55079306,1409,1409,433.5
MacKay River,Pad 750,Pad 750 South,750-WP14,750-P14,SUNCOR OB20 DOVER 1-6-93-12,258.2999878,444363.3125,6321603,SUN-AB0471809-093-12-W4-00,46.03948076,46.03948076,1335.050049,1335.050049,431.2999878
MacKay River,Pad 751,Pad 751 North,751-WP02,751-P02,SUNCOR DA12-1 DOVER 6-7-93-12,256.3999939,443698.0313,6323436,SUN-AB0426855-093-12-W4-00,29.66295038,29.66295038,661.7700195,661.7700195,436.8999939
MacKay River,Pad 751,Pad 751 North,751-WP02,751-P02,SUNCOR OB17 DOVER 11-7-93-12,254.1999969,443702.125,6323976,SUN-AB0471691-093-12-W4-00,26.45072069,26.45072069,1198.410034,1198.410034,437.2000122
MacKay River,Pad 751,Pad 751 South,751-WP10,751-P10,SUNCOR SD11 DOVER 3-6-93-12,256,443833,6321694,SUN-AB0427840-093-12-W4-00,18.56071119,18.56071119,1258.574951,1258.574951,435
MacKay River,Pad 751,Pad 751 East,751-WP17,751-P17,SUNCOR SD1 DOVER 14-6-93-12,257.2999878,443791,6322880,SUN-AB0431307-093-12-W4-00,18.13623036,18.13623036,571.6849976,571.6849976,436.7999878
MacKay River,Pad 750,Pad 750 North,750-WP04,750-P04,PC  9DOVER 9-7-93-12,255.6999969,444453.9688,6323993,SUN-AB0100306C-093-12-W4-00,45.05622572,45.05622572,1220.189941,1220.189941,428.7999878
MacKay River,Pad 750,Pad 750 North,750-WP04,750-P04,PC 19 DOVER 1-7-93-12,255.3999939,444429.0938,6323214.5,SUN-AB0100306B-093-12-W4-00,21.55445955,21.55445955,439,439,430.1000061
MacKay River,Pad 750,Pad 750 North,750-WP04,750-P04,SUNCOR DA7-1 DOVER 9-7-93-12,255.6999969,444385.5313,6323905,SUN-AB0426901-093-12-W4-00,22.45292384,22.45292384,1134.869995,1134.869995,429.2000122
MacKay River,Pad 750,Pad 750 South,750-WP10,750-P10,SUNCOR SD14 DOVER 4-5-93-12,256.2000122,444745.0938,6321621,SUN-AB0430794-093-12-W4-00,6.457871287,6.457871287,1334.459961,1334.459961,428.2000122
MacKay River,Pad 750,Pad 750 South,750-WP10,750-P10,SUNCOR 16-6SL WBC55 DOVER 12-5-93-12,303.3632507,444726.9063,6322508,SUN-AB0472613-093-12-W4-00,23.58495283,93.89376997,453,493.6799927,432.6000061
MacKay River,Pad 750,Pad 750 South,750-WP15,750-P15,SUNCOR OB20 DOVER 1-6-93-12,258.2999878,444363.3125,6321603,SUN-AB0471809-093-12-W4-00,38.45172501,38.45172501,1351.680054,1351.680054,431.2999878
MacKay River,Pad 751,Pad 751 North,751-WP05,751-P05,PC WD 18 DOVER 15-7-93-12,270.2000122,443989.625,6324199.5,SUN-AB0229402-093-12-W4-00,65.10808322,65.10808322,1398,1398,437.2000122
MacKay River,Pad 751,Pad 751 South,751-WP12,751-P12,SUNCOR SD5 DOVER 14-6-93-12,255.6999969,443616.25,6322576,SUN-AB0430458-093-12-W4-00,28.59530392,28.59530392,354.4700012,354.4700012,438.7000122
MacKay River,Pad 751,Pad 751 East,751-WP18,751-P18,SUNCOR SD1 DOVER 14-6-93-12,257.2999878,443791,6322880,SUN-AB0431307-093-12-W4-00,100.0181673,100.0181673,578.4000244,578.4000244,436.7999878
MacKay River,Pad 751,Pad 751 East,751-WP18,751-P18,SUNCOR SD2 DOVER 1-7-93-12,257.5,444697,6323003.5,SUN-AB0426854-093-12-W4-00,77.20761378,77.20761378,1410,1410,430.5
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,PC WDW 21 DOVER 10-7-93-12,261.3999939,444235.1875,6324055,SUN-AB0270295-093-12-W4-00,2.5625,2.5625,1293.540039,1293.540039,435.3999939
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,PC WD 13 DOVER 10-7-93-12,267.7000122,444188.8125,6324010.5,SUN-AB0219788-093-12-W4-00,49.79129293,49.79129293,1248.300049,1248.300049,436.7000122
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,SUNCOR DA11-1 DOVER 7-7-93-12,258.3999939,444174,6323622,SUN-AB0426902-093-12-W4-00,64.18918115,64.18918115,865.0499878,865.0499878,432.8999939
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,PC UTF PA10 DOVER 10-7-93-12,271.1000061,444166.9375,6324000,SUN-AB0184088-093-12-W4-00,71.81424062,71.81424062,1239.069946,1239.069946,435.8999939
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,PC UTF WDW10 DOVER 10-7-93-12,270.1000061,444200.8125,6324022,SUN-AB0191464-093-12-W4-00,37.75632449,37.75632449,1257.329956,1257.329956,435.1000061
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,SUNCOR OB18 DOVER 10-7-93-12,257.1000061,444173.0938,6324086.5,SUN-AB0471658-093-12-W4-00,64.87343447,64.87343447,1321.119995,1321.119995,435.1000061
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,SUNCOR DA6-1 DOVER 7-7-93-12,257.3999939,444149.9688,6323380,SUN-AB0427006-093-12-W4-00,87.45036539,87.45036539,616.9899902,616.9899902,433.3999939
MacKay River,Pad 750,Pad 750 North,750-WP02,750-P02,PC WDW 20 DOVER 10-7-93-12,262.3999939,444181.4063,6323952.5,SUN-AB0270296-093-12-W4-00,57.3125,57.3125,1191.339966,1191.339966,435.3999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,SUNCOR SD14 DOVER 4-5-93-12,256.2000122,444745.0938,6321621,SUN-AB0430794-093-12-W4-00,81.85068818,81.85068818,1324.51001,1324.51001,428.2000122
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-02,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-04,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,SUNCOR 16-6SL WBC55 DOVER 12-5-93-12,303.3632507,444726.9063,6322508,SUN-AB0472613-093-12-W4-00,62.63797271,177.1626002,443,493.5400085,432.6000061
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-00,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-03,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 750,Pad 750 South,750-WP11,750-P11,PC SS-T3 DOVER 9-6-93-12,255.8999939,444635.8438,6322127.5,SUN-AB0394972-093-12-W4-05,28.8839441,28.8839441,810.9400024,810.9400024,430.8999939
MacKay River,Pad 751,Pad 751 North,751-WP01,751-P01,SUNCOR OB17 DOVER 11-7-93-12,254.1999969,443702.125,6323976,SUN-AB0471691-093-12-W4-00,59.3339414,59.3339414,1194.109985,1194.109985,437.2000122
MacKay River,Pad 751,Pad 751 North,751-WP01,751-P01,SUNCOR DA12-1 DOVER 6-7-93-12,256.3999939,443698.0313,6323436,SUN-AB0426855-093-12-W4-00,54.70806756,54.70806756,654.8599854,654.8599854,436.8999939
MacKay River,Pad 751,Pad 751 South,751-WP09,751-P09,SUNCOR SD11 DOVER 3-6-93-12,256,443833,6321694,SUN-AB0427840-093-12-W4-00,68.63929297,68.63929297,1267.949951,1267.949951,435
MacKay River,Pad 751,Pad 751 East,751-WP14,751-P14,SUNCOR SD5 DOVER 14-6-93-12,255.6999969,443616.25,6322576,SUN-AB0430458-093-12-W4-00,78.50050383,78.50050383,419.8599854,419.8599854,438.7000122
